Personaje,Sexo,Comprobado
LABRANZA,FEMALE,True
HERMOSURA,FEMALE,True
DISCRECIÓN,DIVERSE,True
MILICIA,FEMALE,True
POBREZA,FEMALE,True
BIEN,MALE,True
MAL,MALE,True
ESQUELETO,MALE,True
DENTRO ÉL,DIVERSE,True
SULAMITIS,FEMALE,True
LEPROSO,MALE,True
DOS VIRTUDES,FEMALE,True
DOS VICIOS,MALE,True
MISERCORDIA,FEMALE,True
SEGUNDO ADÁN,MALE,True
JOSUÉ,MALE,True
BENITO,MALE,True
BERNARDO,MALE,True
ISAAC,MALE,True
JOSEF,MALE,True
MELQUISEDEC,MALE,True
SAN JUAN,MALE,True
BAPTISTA,MALE,True
PASTOR,MALE,True
MADIÁN,MALE,True
AMALEC,MALE,True
FARÁ,MALE,True
GEDEÓN,MALE,True
LOS UNOS,MALE,True
LA IDOLATRÍA,FEMALE,True
JOÁS,MALE,True
MIES,MALE,True
MONTE,MALE,True
PRADO,MALE,True
PINTOR,MALE,True
CUERPO,MALE,True
ALMA,FEMALE,True
SAÚL,MALE,True
NABAL,MALE,True
ABIGAIL,FEMALE,True
LIBERALIDAD,FEMALE,True
SIMPLICIO,MALE,True
JORÁN,MALE,True
DUDA,FEMALE,True
ABRAHÁN,MALE,True
ELIAZER,MALE,True
LEVÍ,MALE,True
BATUEL,MALE,True
REBECA,FEMALE,True
LAURO,MALE,True
TEUCA,FEMALE,True
HABRA,FEMALE,True
RUBÉN,DIVERSE,True
LOS DOS NIÑOS,MALE,True
LEVITA,MALE,True
SALE EL LUCERO,MALE,True
SOL,MALE,True
CRISTINA,FEMALE,True
ETÍOPE,MALE,True
FELIPE,MALE,True
ODIO,MALE,True
SENCILLEZ,FEMALE,True
DÍA,MALE,True
CUPIDO,MALE,True
NOÉ,MALE,True
SULTANA,FEMALE,True
ABENYUCEF,MALE,True
VARGAS,MALE,True
CORREA,FEMALE,True
CALATRAVA,MALE,True
ALCÁNTARA,MALE,True
PRIOR,MALE,True
SANTIAGO,MALE,True
SEGOVIA,MALE,True
ÁNGELES,MALE,True
ALMIRANTE,MALE,True
DON PELAY,MALE,True
TROPEZÓN,MALE,True
PELAY,MALE,True
LAS VOCES,DIVERSE,True
LOS ÁNGELES,MALE,True
RÚSTICO,MALE,True
YALCORÁN,MALE,True
VIEJO,MALE,True
LEANDRO,MALE,True
ISIDORO,MALE,True
ÁSPID,MALE,True
